time,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,Nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,temp,pressure,humidity,Year,month,Fossil Fuel,Renewable Energy
2015-January,354564,419894,3555039,3966518,224320,539663,752873,1886034,4886159,51404,51796,828577,167772,5558764,835401,5646656,22407742,22108105,47.41939516,64.89876344,280.1604844,1011.518409,74.27223865,2015,January,8165771,10140043
2015-February,315992,210616,3141835,2719981,214640,489264,779854,2496817,4489714,53361,47387,836335,143688,5194268,811222,5188676,19903758,19485439,44.20629464,56.41299107,281.2009038,3822.709524,71.22678571,2015,February,6287072,10303605
2015-March,348245,181838,3433721,3151670,237491,446991,873180,2288330,4976219,55597,49581,953698,131871,5022025,983315,4997252,21119101,21152698,46.55680108,55.47856183,284.4099672,1017.930414,72.94948952,2015,March,7004720,10113921
2015-April,306162,332612,3555680,3460496,243254,349366,722228,1809458,4356942,43033,50043,1049430,138091,3946153,1043564,3947545,19766212,19645800,48.90077778,58.40280556,287.2217594,1014.331111,69.41916667,2015,April,7592042,8370931
2015-May,374663,279105,3285211,2991139,247479,395932,668073,2079558,4020439,61178,52501,1428551,151008,5029791,1417036,5034176,20485088,20375330,45.52805108,57.31275538,291.9165341,1003.094892,62.0327957,2015,May,6802934,10180077
2015-June,349427,478803,3547897,4463682,229508,281443,624816,1819725,4069021,58402,47098,1437039,180210,3145284,1424767,3152971,20135272,20196804,53.09684722,65.98793056,295.6963628,1008.583702,61.35138122,2015,June,8719890,7885042
2015-July,381348,509050,4860460,5022853,268108,232974,550421,1797948,4823826,60973,50842,1468494,181091,2940601,1481967,2930476,22752795,22697955,57.68346774,71.04645161,300.364389,1015.842526,56.88489209,2015,July,10660471,7603719
2015-August,386113,435867,3656485,4359654,241011,425690,523869,1456167,4789767,60925,50713,1293794,173313,3620083,1302268,3619615,20641215,20626568,52.76798387,64.02223118,298.4940896,1015.291035,59.66906092,2015,August,8693017,7929742
2015-September,372265,394586,3656464,4070167,247231,314345,522584,1630058,4655645,57696,48938,1145713,171247,3111006,1122560,3119311,20027286,19972290,51.43744444,60.25020833,293.360495,1015.927906,64.38815789,2015,September,8368448,7316156
2015-October,386063,391721,3887168,4298622,240304,306413,521200,1690830,4348277,62686,52511,805178,177189,3418772,810329,3424158,20595944,20491999,52.37869624,59.40451613,290.8807218,1015.502904,73.26953537,2015,October,8817815,7358156
2015-November,362616,500539,3878432,4307157,249134,374526,558851,1731566,4300615,60922,50618,843632,174832,3233767,826692,3234931,20331191,20353377,53.16326389,60.739625,286.8752048,1023.73079,74.64983535,2015,November,8935262,7330408
2015-December,359429,366009,3761166,3951619,245647,505228,542149,1444252,4923115,55564,53226,649585,160722,3671914,662029,3666471,20661704,20548468,50.33576613,61.88189516,284.3378248,1028.55502,75.84042838,2015,December,8324441,7386505
2016-January,342210,310938,3920307,3126605,251069,629969,785726,3031062,4630515,55716,57984,763159,184243,3723499,749616,3734994,21821848,21805995,41.46201613,45.56259409,284.1303,1020.838293,75.53147221,2016,January,7608919,9517852
2016-February,299523,133399,3098147,2107450,206949,574508,810631,3398710,4286857,54580,51829,875609,146860,4545215,886688,4547450,20394080,20374862,31.43189655,36.73260057,283.9195114,1018.230114,70.25284091,2016,February,5545945,10702885
2016-March,319658,128690,3225057,2219445,218703,618244,954750,2898991,4983118,58342,54589,1027516,165424,4392356,1038515,4390928,20857244,20842582,33.25512097,36.80688172,284.6875958,1015.573679,67.63214095,2016,March,5791895,10431528
2016-April,206641,103371,3070400,1603700,187342,452056,1053341,3688228,4828610,39243,56368,1001102,171712,3842054,999819,3848008,20192886,20111851,31.18304167,32.60819444,287.5262015,1013.526879,69.20762479,2016,April,4964813,10471502
2016-May,250800,133178,3353711,1656167,206765,424118,1037583,3409637,4251242,24039,58990,1256751,174139,3953181,1274752,3955968,20338062,20314667,31.23422043,34.73579301,291.0720071,1014.542887,66.79150172,2016,May,5349821,10565199
2016-June,244993,126432,3595896,2071227,208626,327048,787703,2146517,4786143,42797,60095,1398839,182835,4060442,1415989,4063576,20291795,20357062,37.82934722,46.28563889,295.7650592,1014.008322,60.51761442,2016,June,6002181,9208472
2016-July,261411,296320,4067910,2975163,212598,298648,660828,1901277,4931915,41683,58428,1423413,215890,4245140,1443608,4246206,21976040,21928100,39.55860215,47.49268817,298.6219799,1012.944876,61.59352422,2016,July,7551991,9065035
