time,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,temp,pressure,humidity,Year,month,day
2015-January-01,10205,5849,100507,98387,3876,26117,25366,53977,170338,1016,1764,27448,4825,95856,25188,94618,594078,575207,45.03166667,62.09083333,277.0012065,1022.125,75.46666667,2015,January,1
2015-January-02,9357,0,85588,30195,4820,36260,31200,89007,170530,1095,1487,30061,4478,265441,28493,266809,660466,652525,17.59833333,69.44375,277.9512172,1024.691667,77.89166667,2015,January,2
2015-January-03,10485,0,82843,33023,5515,32666,33073,93538,170279,1876,1580,27501,4856,219294,27201,218722,612020,602346,25.34208333,65.22333333,278.8297266,1020.375,78.01666667,2015,January,3
2015-January-04,9513,326,84627,55567,8559,13765,35566,77887,166957,1969,1393,57659,3819,192387,55009,192548,652029,650518,30.65833333,58.91208333,279.6433542,1016.008333,77.35833333,2015,January,4
2015-January-05,6295,955,77277,45763,5387,19196,19399,42338,67637,724,1243,18396,2630,121272,41830,182604,536648,404712,39.2075,74.59833333,279.0467518,1014.033333,81.175,2015,January,5
2015-January-06,12853,22120,108298,161178,7959,5254,19617,74584,117498,2067,1574,54969,5596,62884,54681,63223,658764,674071,56.05083333,68.67875,278.3621276,1009.049587,84.04132231,2015,January,6
2015-January-07,11930,21859,128741,189465,8869,3661,17352,48577,144389,2076,1287,54420,5269,138486,53659,138719,777327,766790,59.0275,79.04625,278.6092531,1019.158333,81.75833333,2015,January,7
2015-January-08,12384,13464,107891,165582,7529,9307,15869,37954,161900,2022,1615,54838,5674,84404,54033,85388,654344,632197,53.94791667,78.55916667,279.0489065,1024.933333,77.96666667,2015,January,8
2015-January-09,11637,21018,137559,180019,8443,4241,14495,48765,163764,2009,1655,39406,5942,100546,37305,100576,721030,729678,57.80875,76.3525,280.1111375,1031.4,73.10833333,2015,January,9
2015-January-10,13417,19921,129639,170601,9738,4560,11745,60240,143074,2076,1709,43442,5995,57384,41522,57191,666884,669339,57.23625,68.21208333,281.6473461,1023.108333,68.725,2015,January,10
