time,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,temp,pressure,humidity,year,month,day,weather_main,wastage
2015-January-01,10205,5849,0,100507,98387,3876,0,0,0,0,26117,25366,53977,0,170338,1016,1764,27448,4825,0,95856,25188,0,94618,594078,575207,45.03166667,62.09083333,277.0012065,1022.125,75.46666667,2015,January,1,clear,299588.2708
2015-January-02,9357,0,0,85588,30195,4820,0,0,0,0,36260,31200,89007,0,170530,1095,1487,30061,4478,0,265441,28493,0,266809,660466,652525,17.59833333,69.44375,277.9512172,1024.691667,77.89166667,2015,January,2,clear,310969.1125
2015-January-03,10485,0,0,82843,33023,5515,0,0,0,0,32666,33073,93538,0,170279,1876,1580,27501,4856,0,219294,27201,0,218722,612020,602346,25.34208333,65.22333333,278.8297266,1020.375,78.01666667,2015,January,3,clear,316724.5067
2015-January-04,9513,326,0,84627,55567,8559,0,0,0,0,13765,35566,77887,0,166957,1969,1393,57659,3819,0,192387,55009,0,192548,652029,650518,30.65833333,58.91208333,279.6433542,1016.008333,77.35833333,2015,January,4,clear,224985.2463
2015-January-05,6295,955,0,77277,45763,5387,0,0,0,0,19196,19399,42338,0,67637,724,1243,18396,2630,0,121272,41830,0,182604,536648,404712,39.2075,74.59833333,279.0467518,1014.033333,81.175,2015,January,5,clear,196193.6167
2015-January-06,12853,22120,0,108298,161178,7959,0,0,0,0,5254,19617,74584,0,117498,2067,1574,54969,5596,0,62884,54681,0,63223,658764,674071,56.05083333,68.67875,278.3297818,1009.021277,84.05564648,2015,January,6,clouds,384326.285
2015-January-07,11930,21859,0,128741,189465,8869,0,0,0,0,3661,17352,48577,0,144389,2076,1287,54420,5269,0,138486,53659,0,138719,777327,766790,59.0275,79.04625,278.6092531,1019.158333,81.75833333,2015,January,7,clear,416494.6913
2015-January-08,12384,13464,0,107891,165582,7529,0,0,0,0,9307,15869,37954,0,161900,2022,1615,54838,5674,0,84404,54033,0,85388,654344,632197,53.94791667,78.55916667,279.0489065,1024.933333,77.96666667,2015,January,8,clear,445744.7117
2015-January-09,11637,21018,0,137559,180019,8443,0,0,0,0,4241,14495,48765,0,163764,2009,1655,39406,5942,0,100546,37305,0,100576,721030,729678,57.80875,76.3525,280.1111375,1031.4,73.10833333,2015,January,9,clear,453686.555
2015-January-10,13417,19921,0,129639,170601,9738,0,0,0,0,4560,11745,60240,0,143074,2076,1709,43442,5995,0,57384,41522,0,57191,666884,669339,57.23625,68.21208333,281.6473461,1023.108333,68.725,2015,January,10,clear,408931.4396
2015-January-11,12710,917,0,95794,56034,5235,0,0,0,0,39103,15541,23821,0,121342,2002,1554,15116,6296,0,228516,16944,0,227718,557740,553523,32.94,59.53125,281.8508813,1019.083333,72.80833333,2015,January,11,clear,374808.75
2015-January-12,11419,22349,0,215346,173066,9733,0,0,0,0,6089,19556,75092,0,132705,2217,1653,21289,5545,0,36607,21795,0,36545,753831,753070,64.5225,71.37291667,280.8508412,1019.091667,76.86666667,2015,January,12,clear,395762.8229
2015-January-13,12596,20480,0,147019,160557,7772,0,0,0,0,13335,22406,61746,0,170404,1958,1689,21265,6447,0,153184,22292,0,153390,777891,771258,56.95666667,69.84125,282.8174247,1012.9,70.41666667,2015,January,13,clouds,450266.5388
2015-January-14,12614,20601,0,147689,167192,7915,0,0,0,0,9840,23713,75161,0,170382,2020,1769,17571,6421,0,144424,19065,0,143782,777011,770548,61.12083333,74.31291667,282.547825,1012.566667,71.99166667,2015,January,14,clear,477163.2379
2015-January-15,11669,19023,0,99883,140654,8041,0,0,0,0,19552,24272,46188,0,170276,1843,1758,14019,6234,0,231358,15540,0,231791,783409,769865,47.53333333,60.20125,283.7542245,1007.408333,71.75,2015,January,15,clouds,375294.5925
